job_title,company,location,salary,country
Senior Data Analyst,Teranet,"Toronto, ON",,Canada
Business System Analyst,CAPCO,"Toronto, ON",,Canada
newMarketing Data - Analyst,Desjardins,"Hybrid remote in Toronto, ON",,Canada
Quality Assurance Analyst,Red River Mutual,"Winnipeg, MB",,Canada
Analyst/Administrative Assistant,Vancouver Coastal Health,"Vancouver, BC+2 locations",$25.63 - $33.64 an hour,Canada
Business Analyst,Omni Logic Solutions,"Vancouver, BC",,Canada
"newCoordinator/Analyst, Surgical Supply Chain",Fraser Health,"Surrey, BC",,Canada
newGlobal Operational Readiness Analyst,Scotiabank,"Hybrid remote in Scarborough, ON+1 location",,Canada
newReplenishment Analyst,Metro Inc.,"Toronto, ON",,Canada
information systems analyst - computer systems,This is the Deal Inc.,"Toronto, ON",$41.60 - $44.00 an hour,Canada
"Senior Equity Analyst, Alternative Data","Nasdaq, Inc.","Hybrid remote in Toronto, ON",,Canada
Business / Data Analyst,CGI Inc,"Halifax, NS",,Canada
Business Intelligence (BI) Developer & Data Visualization An...,J.D. Power,"Remote in London, ON",,Canada
Workday Data Conversion Analyst,KPMG,"Calgary, AB",,Canada
Business Analyst,Covers,"Remote in Halifax, NS",,Canada
Quality Assurance Analyst (Contract),ID Fusion,"Winnipeg, MB",,Canada
Business Operations Analyst (BMT),Baylis Medical Technologies,"Hybrid remote in Mississauga, ON",,Canada
newHR Systems and Business Analyst (Vancouver - Remote),Providence Health Care,Remote in British Columbia,,Canada
Senior Business Analyst,BMO Financial Group,"Toronto, ON",,Canada
Business System Analyst,Aversan,"Vaughan, ON",,Canada
"Data Analyst Intern, HR",The North West Company,"Winnipeg, MB",,Canada
"newAnalyste de données | Data Analyst, Genuine",Autodesk,"Montréal, QC",,Canada
Business Systems Analyst,Luxoft,"Toronto, ON",,Canada
Kronos Functional Analyst,Amazon Dev Centre Canada ULC,"Toronto, ON",,Canada
Data Analyst,CGI Inc,"Toronto, ON",,Canada
ANALYSTE ASSURANCE QUALITÉ/ QUALITY ASSURANCE ANALYST,Frima Studio,"Remote in Quebec City, QC",,Canada
newInventory Management Analyst/Analyste en gestion des stocks...,Imperial Dade,"Saint-Laurent, QC",,Canada
STATISTICAL ANALYST,Leger,Remote,,Canada
SENIOR TECHNICAL ANALYST,The YMCA of Greater Toronto,"Toronto, ON","$53,208 a year",Canada
Operations Technical Analyst,Raymond James Financial,"Vancouver, BC",,Canada
newFire Policy & Procedure Analyst,City of Regina,"Regina, SK",$31.69 - $39.73 an hour,Canada
newCustomer Supply Chain Analyst (Hybrid Work Model),The J. M. Smucker Company,"Hybrid remote in Markham, ON",,Canada
INFORMATION TECHNOLOGY (IT) ANALYST,SCOOTER CITY,"Coquitlam, BC",,Canada
newMarket Analyst,Affinity Credit Union,Saskatchewan,,Canada
Data and Automation Analyst,AbCellera Biologics,"Vancouver, BC",,Canada
business systems analyst,Save Max Real Estate Inc.,"Mississauga, ON",$40 an hour,Canada
"Data Operations Analyst - Bedford, NS (Fall 2022 Student)",Royal Bank of Canada,"Halifax, NS",,Canada
QC Analyst 1 - Afternoon shift,Bimeda,Canada,$13 an hour,Canada
Business Intelligence Developer,PRA Health Sciences,Remote,,Canada
"Analyst, Business Systems",Fraser Health,"Surrey, BC",,Canada
Market Operations Analyst,Peak Power,"Toronto, ON",,Canada
"Business Analyst, Digital Product",Staples Canada,"Mississauga, ON",,Canada
Logistics Analyst,Maple Lodge Farms,"Mississauga, ON",,Canada
Senior Data Analyst/Modeller,Bank of Canada,"Temporarily Remote in Ottawa, ON",,Canada
Supply Chain Data Analyst - Canada,QuEST Global Engineering,"Longueuil, QC",,Canada
"Analyst, Data Science",Loblaw Companies Limited,"Brampton, ON+9 locations",,Canada
"Business Data Analyst - Government & Public Sector, Omnia AI",Deloitte,Canada,,Canada
Business Analyst L5,Medavie Blue Cross,"Temporarily Remote in Quebec City, QC+1 location",,Canada
Customer Insights Analyst,Saskatchewan Government Insurance,"Regina, SK","$63,504 - $80,136 a year",Canada
Pricing Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
newQA Analyst - Python Automation Testing,Cognizant,"Toronto, ON",,Canada
information systems business analyst,Edgetch HVAC Services Ltd.,"Mississauga, ON",$42 an hour,Canada
"newSalesforce Business Analyst - Remote, Canada",Flight Centre Travel Group,Remote in Newfoundland and Labrador,,Canada
"Business Analyst, Parental Leave",Bell Canada,"Montréal, QC",,Canada
newSenior Data Analyst,Hitachi Solutions Ltd,"Toronto, ON",,Canada
IT Asset Management Analyst,"Foresters Financial Services, Inc.","Hybrid remote in Toronto, ON",,Canada
"Business Analyst, Procure to Pay",BELL BUSINESS MARKETS,"Toronto, ON",,Canada
Marketing Analyst,Scribendi,"Remote in Chatham-Kent, ON",,Canada
"newBusiness Analyst, Pulp",West Fraser,"Quesnel, BC",,Canada
Reporting Analyst,BGIS,"Ottawa, ON",,Canada
People Operations Analyst,CryptoKitties,"Vancouver, BC",,Canada
Management Information Systems Analyst,Westman Communications Group,"Brandon, MB",,Canada
Sr Operational Ex Analyst,Honeywell,"Kanata, ON",,Canada
"Technical Specialist, Business Intelligence",BMO Financial Group,"Toronto, ON",,Canada
Analyst - Procurement,Westjet Airlines,"Remote in Calgary, AB",,Canada
newBusiness Operations Analyst,Imperial Manufacturing Group,"Dieppe, NB",,Canada
newQuality Assurance Analyst,The Cadillac Fairview Corporation Limited,"Toronto, ON",,Canada
Business Analyst,Equitable Bank,"Toronto, ON",,Canada
business intelligence analyst,Labour Market Information Council / Conseil de...,"Ottawa, ON","$67,000 - $77,000 a year",Canada
systems analyst,AdamSea Inc.,"Toronto, ON",$38.34 an hour,Canada
"analyst, business - computer systems",ARxIUM Inc,"Remote in Winnipeg, MB","$64,500 - $71,000 a year",Canada
newSenior Business Analyst,TD Bank,"Toronto, ON",,Canada
database analyst (DBA),Uponcall Inc.,"Surrey, BC",$38 an hour,Canada
newI&IT Senior Business Analyst,Metrolinx,Canada,"$87,009 a year",Canada
"Lead Data Analyst, Blockchain Ecosystem",Dapper Labs,Remote,,Canada
"Business Analyst, EDI Systems & Projects",Buckland,"St. Thomas, ON",,Canada
Reporting and Data Analyst - Office of The Registrar,SAIT Polytechnic,"Calgary, AB","$75,000 - $85,000 a year",Canada
"newAnalyst, Supply Chain",Weston Foods,"Etobicoke, ON",,Canada
Data and Automation Analyst,AbCellera,"Vancouver, BC",,Canada
Valuation Analyst,Colliers International,"Toronto, ON+5 locations",,Canada
Senior Support/Service Desk Analyst (Hybrid),IQVIA,Remote,,Canada
"newIntermediate Data Analyst, ES-03",Canada Revenue Agency,"Temporarily Remote in Ottawa, ON","$73,386 - $88,891 a year",Canada
newSenior Performance Analyst,TELUS,"Toronto, ON+1 location",,Canada
Research Analyst,Yukon University,"Whitehorse, YT",$35.81 - $42.63 an hour,Canada
computer systems analyst,Adept Global,"Pickering, ON",$41.60 an hour,Canada
business systems analyst,KIDS VALLEY DAYCARE & OSC,"Leduc, AB",$47.62 an hour,Canada
Innovation Analyst (Up to 24 Months) - J0422-0885,The City of Kingston,"Kingston, ON",$34.05 - $42.56 an hour,Canada
Junior CRM Business Analyst,Educators Financial Group,"Toronto, ON",,Canada
"analyst, informatics security",TCS Forensics Limited,"Richmond, BC","$50,000 - $85,000 a year",Canada
information technology (IT) business analyst,Nirvana Info Com Inc.,"Vancouver, BC",$37 an hour,Canada
Business Analyst I - TELUS Health,TELUS,"Toronto, ON",,Canada
newGuest Support Business Analyst,Lululemon,"Vancouver, BC",,Canada
Quality Assurance Analyst (12-Month Contract),OMERS,"Toronto, ON",,Canada
newBusiness System Analyst,Sun Life Financial,"Temporarily Remote in Waterloo, ON+2 locations",,Canada
Business Analyst,CONSUMER & SMB/MARCHÉ CONSOMMATEUR & PME,"Toronto, ON",,Canada
newSenior Business Intelligence and Reporting Analyst,TD Bank,"Toronto, ON",,Canada
Operations Analyst,Citco,"Halifax, NS",,Canada
Business and Policy Analyst,Simon Fraser University,"Burnaby, BC","$75,285 - $89,904 a year",Canada
newHR Business Analyst,NAIT,"Edmonton, AB","$5,793 - $7,675 a month",Canada
Senior Business Analyst (remote),Zebra Technologies,Remote,,Canada
Business Analyst,SpringGage,"Toronto, ON",,Canada
Market Research Analyst,City of Regina,"Regina, SK",$31.69 - $39.73 an hour,Canada
Analyst Pharmacy and Liquor,Federated Co-operatives Limited,"Remote in Saskatoon, SK",,Canada
newSENIOR SYSTEM ANALYST LEAD PROGRAMMER,Ministry of Health,"Remote in North York, ON","$1,391 - $1,778 a week",Canada
Analyst - Reliability & Technical Support,Westjet Airlines,"Remote in Calgary, AB",,Canada
"Business Analyst, Accounts Receivable",Fraser Health,"New Westminster, BC",,Canada
newSUPPLY CHAIN DATA ANALYST – H/F,KLB Group Canada,"Montréal, QC",,Canada
Billing Analyst - Logistics,Dynacare,"Brampton, ON",,Canada
Business & Data Analyst,Hexagon,"Calgary, AB",,Canada
Application Analyst,Perkins Coie,"Remote in Headquarters, BC","$72,940 - $113,610 a year",Canada
Business Analyst - Permanent Full-Time,Vancity,"Vancouver, BC",,Canada
Business Analyst,JDI IT,"Saint John, NB",,Canada
Programmer Data Analyst-Mississauga-Officer/C11,Citi,"Mississauga, ON",,Canada
"Data Analyst, Valuation & Advisory Services (Western Region)",Avison Young Canada,"Edmonton, AB",,Canada
Associate Business Analyst,Olympus Corporation of the Americas,"Richmond Hill, ON",,Canada
"Analyst, Customer Analytics",Coast Capital Savings,"Hybrid remote in Surrey, BC",,Canada
Data Analyst,Extendicare Canada Inc.,"Markham, ON",,Canada
"Senior Analyst, Strategy & Business Operations",PocketHealth,Remote,,Canada
newSenior Business Analyst,Arthur Grand Technologies Inc,"Toronto, ON",,Canada
Employee & Labor Relations Analyst,DHL,"Lachine, QC",,Canada
Business Systems Analyst - Global Engineering & Operations (...,Lululemon,"Vancouver, BC",,Canada
Compliance Data Analyst,Tipalti,"Toronto, ON",,Canada
Data Analyst,Westland Insurance,"Hybrid remote in Surrey, BC",,Canada
Real Estate Advisory Analyst (Remote),Altus Group,"Remote in Toronto, ON",,Canada
newBusiness Performance Analyst,Midland Transport,"Dieppe, NB",,Canada
Logistics Analyst,QuEST Global Engineering,"Mirabel, QC",,Canada
IT Computer Systems Analyst 2022 - Remote,Canadian Musicians Co-operative,"Temporarily Remote in Barrie, ON",,Canada
newData Review Analyst / Analyste Vérification de données,KABS,"Longueuil, QC",,Canada
"newBusiness Analyst, Technology",Hasbro,"Toronto, ON",,Canada
Head of Business Intelligence,Accentio Group,"Toronto, ON",,Canada
Senior Marketing Data and Analytics Analyst,Meridian Credit Union,"Etobicoke, ON",,Canada
Research Analyst – Land and Development,Avison Young Canada,"Markham, ON",,Canada
"newRevenue Growth Management, Analyst",L'Oreal,"Montréal, QC",,Canada
"Analyst, Artificial Intelligence",Air Canada,"Dorval, QC",,Canada
newSenior Legislative and Policy Analyst,Manitoba Government,"Winnipeg, MB","$65,288 - $82,064 a year",Canada
Business Analyst,Luxoft,"Toronto, ON",,Canada
"Analyst, ESG Reporting",Triovest Realty Advisors Inc.,"Remote in Toronto, ON",,Canada
"Coordinator/Analyst, Citizenship Operations",Royal Bank of Canada,"Toronto, ON",,Canada
Securities Data Analyst,Kyndryl,"Markham, ON",,Canada
newAnalyst,Alberta Health Services,"Calgary, AB",,Canada
"newBusiness Analyst Student, Transportation Operational Analysi...",Canadian Tire Corporation,"Brampton, ON",,Canada
Systems Analyst - Enterprise Architecture,BMO Financial Group,"Toronto, ON",,Canada
newIndustrial Planning Analyst,Tenaris,"Sault Ste. Marie, ON",,Canada
Business Analyst (Toronto),StackAdapt,Canada,,Canada
"newHealth Data Analyst, Perinatal Services BC",PHSA,"Vancouver, BC",,Canada
Performance Reporting Analyst,British Columbia Rapid Transit Company,"Metro Vancouver Regional District, BC","$73,614 a year",Canada
SEM Analyst,BreezeMaxWeb,"Toronto, ON",$22 - $28 an hour,Canada
newAnalyste de données / Data Analyst,Avison Young Canada,"Montréal, QC",,Canada
Associate Analyst 3 - Toronto,ZM Financial Systems,"Toronto, ON",,Canada
newBusiness Intelligence Analyst Co-op,Definity,"Remote in Waterloo, ON+1 location",,Canada
Digital Business Analyst,Shell,"Fort Saskatchewan, AB",,Canada
"Data Analyst, Financial Crime Analytics",Deloitte,Ontario,,Canada
"newSenior Data Analyst, AVP",Citi,"Mississauga, ON",,Canada
"Senior Business Analyst, BSS",Netcracker,"Remote in Toronto, ON+1 location",,Canada
Cova - QA Analyst,Cova Software,"Vancouver, BC+2 locations",,Canada
newHRIS Analyst,Parkland Corporation,"Calgary, AB",,Canada
Operations Analyst,NRG,"Calgary, AB",,Canada
newBusiness Analyst IT Operational Excellence,National Bank of Canada,"Montréal, QC",,Canada
Business Intelligence Architect,Oilers Entertainment Group,"Edmonton, AB",,Canada
Sustainability Analyst,JLL,"Toronto, ON",,Canada
Global Business Analyst - Retail,Unilever,"Kingston, ON",,Canada
Master Data analyst,Aldo Groupe,"Montréal, QC",,Canada
newData Scientist,DocSend,Remote,,Canada
newData Scientist,BluWave-ai,"Remote in Ottawa, ON",,Canada
newData Scientist,Scotiabank,"Toronto, ON",,Canada
"newSenior Data Scientist (Remote, Canada)",Shopify,"Remote in Toronto, ON",,Canada
newData Scientist,Launch Potato,"Remote in Toronto, ON",,Canada
"newStaff (Lead) Data Scientist (Remote, Canada)",Shopify,"Remote in Toronto, ON",,Canada
newData Scientist - Delta One Strats (Hybrid),Morgan Stanley,"Remote in Montréal, QC",,Canada
newData Scientist,Push Operations,"Remote in Vancouver, BC",,Canada
Research Officer - Data Analytics and Machine Learning,National Research Council Canada,"London, ON","$74,230 - $103,093 a year",Canada
"newData Scientist, Canada (Remote)",Andela - Third Party Job Board Only Postings,"Remote in Kingston, ON",,Canada
newEconomic Data Scientist,Government of Alberta,"Edmonton, AB","$5,366 - $7,014 a month",Canada
Junior Data Scientist GEMINI,St. Michael's Hospital,"Toronto, ON",$42.88 - $55.75 an hour,Canada
newData Scientist – IBM Client Engineering - Summit 2022,IBM Canada,Canada+1 location,,Canada
newFraud Investigations Data Scientist,Pacific Blue Cross,"Remote in Burnaby, BC",,Canada
"newData Scientist - Scotford, AB",Shell,"Fort Saskatchewan, AB",,Canada
Data Scientist,Visa,"Hybrid remote in Toronto, ON",,Canada
newData Scientist,Fraser Health,"Fraser, BC+1 location",,Canada
data scientist,Kraft Heinz,"Remote in North York, ON","$100,000 - $120,000 a year",Canada
Omnia AI: Data Scientist - New Grad 2023 - Multiple Location...,Deloitte,Canada,,Canada
data scientist,ASTEK Canada Inc.,"Remote in Montréal, QC","$60,000 a year",Canada
newVelocity - Data Scientist Internship/Co-Op - Fall 2022,Scotiabank,"Toronto, ON",,Canada
Data & Applied Sciences: Full Time Opportunities for Univers...,Microsoft,"Vancouver, BC",,Canada
Data Scientist,Verint Systems Inc.,Remote,,Canada
Data Scientist,Yukon Government,"Whitehorse, YT","$95,248 - $110,615 a year",Canada
newData Scientist II,Amazon Dev Centre Canada ULC,"Toronto, ON+16 locations",,Canada
Data Scientist (Remote),Koho,Remote in Canada,,Canada
Data Scientist,Royal Bank of Canada,"Toronto, ON",,Canada
DATA SCIENTIST,Temetrix,"Ottawa, ON",,Canada
MSc Data Scientist Degree Apprenticeship,Roche,"Welwyn, SK",,Canada
newData Scientist,NielsenIQ,"Toronto, ON",,Canada
newMachine Learning Engineer,Oracle,Canada,,Canada
Data Scientist I,Northbridge Financial Corporation,"Hybrid remote in Toronto, ON",,Canada
"Data Scientist, Google Cloud Support",Google,"Waterloo, ON",,Canada
newSenior Data Scientist,Royal Bank of Canada,"Toronto, ON",,Canada
Data Scientist,Aviva,"York, ON",,Canada
Data Scientist,sharethrough,"Toronto, ON+1 location",,Canada
Omnia AI: Data Scientist - Co-op/Intern - Multiple Locations,Deloitte,Canada,,Canada
Data Scientist,CakeAI,"Toronto, ON",,Canada
"newSDE, Machine Learning, Amazon Freight - Pricing",Amazon Dev Centre Canada ULC,"Vancouver, BC+8 locations",,Canada
DATA SCIENTIST,Allstate Canada,"Markham, ON",,Canada
newSenior Data Scientist (Remote),Koho,Remote in Canada,,Canada
Marketing Data Scientist,Napkyn Analytics,"Ottawa, ON","$80,000 - $100,000 a year",Canada
Data Scientist,407 ETR,"Woodbridge, ON",,Canada
"Data Scientist, Growth",Dapper Labs,Remote,,Canada
Data Scientist,Loblaw Companies Limited,"Brampton, ON+2 locations",,Canada
Data Scientist,TELUS,"Vancouver, BC+1 location",,Canada
Data Scientist (Remote),Yelp,"Remote in Toronto, ON",,Canada
"Data Scientist, Shopping",Pinterest,"Toronto, ON",,Canada
Data Scientist,BMO Financial Group,"Toronto, ON",,Canada
Data Science Engineer-Intern,ATP,Remote,,Canada
newData Scientist,TD Bank,"Toronto, ON",,Canada
newSenior Data Scientist,Rio Tinto,"Montréal, QC",,Canada
newData Scientist,Moneris Solutions,"Toronto, ON",,Canada
Senior Data Scientist,Wattpad,+2 locationsRemote,,Canada
Data Scientist,Coast Capital Savings,"Surrey, BC",,Canada
Data & Applied Scientist 2,Microsoft,"Vancouver, BC",,Canada
The Bay | Applied Data Scientist,Hudson's Bay,"Toronto, ON",,Canada
Data/ Analytics Engineer,Masterpiece Studio,Remote,,Canada
newData Scientist II,ICBC,"Temporarily Remote in North Vancouver, BC",,Canada
Data Scientist/Time Series,Scarsin,"Markham, ON",,Canada
Data Scientist,Praemo,"Kitchener, ON",,Canada
newSenior Data scientist,National Bank of Canada,"Montréal, QC",,Canada
"Data Scientist, Bitmoji",Snapchat,"Toronto, ON",,Canada
Data Scientist,Workers Compensation Board of Manitoba,"Winnipeg, MB","$70,558 - $88,201 a year",Canada
Data Scientist,Carfax,"Remote in London, ON",,Canada
SENIOR DATA SCIENTIST,Temetrix,"Ottawa, ON",,Canada
"newData Science Manager (Remote, Canada)",Shopify,"Remote in Toronto, ON",,Canada
NITRO Data and AI specialist - Data Scientist,EY,"Toronto, ON",,Canada
newApplied Machine Learning Specialist,Vector Institute,"Toronto, ON",,Canada
Sr. Data Scientist,Air Miles,"Temporarily Remote in Toronto, ON",,Canada
Product Data Scientist,sharethrough,"Toronto, ON+1 location",,Canada
Senior Data Scientist,Blockthrough,Remote,,Canada
newMachine Learning Engineer,Workday,"Toronto, ON+1 location",,Canada
"newManager, Fraud Detection Analytics",Royal Bank of Canada,"Toronto, ON",,Canada
Data Scientist,CBI International,"Remote in Toronto, ON",,Canada
Data Scientist,Slate Technologies,"Toronto, ON",,Canada
newSr Data Scientist (Cyber Education & Awareness),Royal Bank of Canada,"Toronto, ON",,Canada
"Remote, Ontario – Intermediate Data Scientist",CaseWare RCM,"Remote in Toronto, ON",,Canada
newDATA SCIENTIST,Business Development Bank of Canada,"Temporarily Remote in Montréal, QC",,Canada
"Data Scientist, Square for Retail",Square,"Vancouver, BC+1 location",,Canada
newData & Analytics Specialist,Canada Life Assurance Company,"Winnipeg, MB",,Canada
Data Scientist (Remote / Hybrid),Wawanesa Insurance,"Remote in Toronto, ON",,Canada
Senior Data Scientist,Aviva,"Markham, ON",,Canada
Data Scientist,Caterpillar,"Vaughan, ON",,Canada
Machine Learning Scientist (All levels),Deep Genomics,"Remote in Toronto, ON",,Canada
Data scientist,Kinsol Research,"Victoria West, PE",,Canada
"Intern, Data Analytics",Kroll,"Toronto, ON",,Canada
Data Scientist,Priceline.com,"Toronto, ON",,Canada
data scientist,BluVec Technologies INC,"Burnaby, BC","$70,000 - $120,000 a year",Canada
newProgrammer (Biomedical Data Science),Lunenfeld-Tanenbaum Research Institute,"Toronto, ON",,Canada
"Data Scientist I - Wealth Data, Analytics & Reporting",TD Bank,"Toronto, ON",,Canada
Data Scientist 22230,Enverus,"Calgary, AB",,Canada
"newData Strategist, Customer Insights Data & Analytics",Scotiabank,"Toronto, ON",,Canada
Applied Scientist,Microsoft,"Vancouver, BC",,Canada
Data Scientist,Vancouver Shipyards,"North Vancouver, BC",,Canada
Sr. Data Scientist,Loblaw Companies Limited,"Brampton, ON",,Canada
Data Scientist / Senior Data Scientist,StackAdapt,Canada,,Canada
Data Scientist,A4 Systems,"Calgary, AB","$80,000 - $120,000 a year",Canada
Machine Learning Geoscientist,DATACLOUD,"Remote in Vancouver, BC",,Canada
Applied Scientist - Inference and Metrics (Remote),Yelp,"Remote in Ottawa, ON+2 locations",,Canada
Clinical Data Scientist Lead (All Levels),PRA Health Sciences,Remote,,Canada
Data Scientist,Fiddlehead,"Moncton, NB",,Canada
"newData & Analytics - Manager, Digital Analytics Implementation",Aritzia,"Vancouver, BC",,Canada
Data Scientist (Load Forecasting),Just Energy,"Toronto, ON",,Canada
Data Scientist - Full-time,Opta Information Intelligence Corp.,"Markham, ON",,Canada
AI/Machine Learning Scientist,Genesys,"Temporarily Remote in Toronto, ON",,Canada
newAnalytics Manager,Validere Technologies,"Greater Toronto Area, ON",,Canada
"Manager, Data Scientist",Scotiabank,"Toronto, ON",,Canada
Applied Scientist - Ad Targeting (Remote),Yelp,Remote,,Canada
"newManager, Transaction Diligence (Data Analytics)",EY,"Remote in Toronto, ON",,Canada
Data Scientist,Rock FOC Technology,"Remote in Windsor, ON",,Canada
newSenior Data Scientist (Remote),New Relic,"Remote in Toronto, ON+2 locations",,Canada
Data Scientist Co-Op (8 Months),Air Miles,Temporarily Remote in Ontario,,Canada
Data Science Engineer,DRVN Intelligence,"Toronto, ON",,Canada
Data Scientist III,RELX,"Toronto, ON",,Canada
"newDirector, Commercial Data Strategy and Analytics",Four Seasons,"Toronto, ON",,Canada
Software Engineer/Data Scientist,Linamar Corp,"Guelph, ON",,Canada
Data Scientist,CGI Inc,"Montréal, QC",,Canada
newBig Data Developer,Cognizant Technology Solutions,"Mississauga, ON",,Canada
Data & Analytics Engineer,Avison Young Canada,"Toronto, ON",,Canada
Senior Data Scientist,Staples Canada,"Richmond Hill, ON",,Canada
Data Scientist - NLP(Calgary-AB),Royal Bank of Canada,"Calgary, AB",,Canada
Data Scientist -Product Analytics | Data Scientist - Analyse...,Facebook App,Remote,,Canada
"Manager Revenue, Intelligence & Analytics",Westjet Airlines,Remote,,Canada
"newMachine Learning Engineer, Content Signals",Pinterest,"Toronto, ON",,Canada
"newManager, Data Science",Aviva,"Markham, ON",,Canada
Data Scientist,Mistplay,"Montréal, QC",,Canada
Data scientist,Koïos Intelligence,"Montréal, QC",,Canada
CT Data Engineer I - Power BI,EY,"Toronto, ON",,Canada
"newSenior Data Scientist, Analytics & Insights",Equitable Bank,"Toronto, ON",,Canada
Senior Data Scientist,Microsoft,"Vancouver, BC",,Canada
Machine Learning Engineer (All levels),Deep Genomics,"Remote in Toronto, ON",,Canada
"AI/ML - Machine Learning Engineer, Machine Intelligence",Apple,"Vancouver, BC",,Canada
"Software Engineer, Machine Learning","Grammarly, Inc.","Remote in Vancouver, BC","$113,000 - $311,000 a year",Canada
Data Scientist - NLP & Search,Grainger Canada,Canada,,Canada
Machine Learning Engineer,PerkinElmer,"Kitchener, ON",,Canada
"Data Scientist, Product Management",Altair Engineering,"Toronto, ON+1 location",,Canada
Data Scientist,Capgemini,"Montréal, QC",,Canada
Sr. Data Analytics Consultant (Tabular Cubes & SQL),Calligo,"Oakville, ON",,Canada
Data Science Instructor,Metro College,"Toronto, ON",$45 - $75 an hour,Canada
newModelling and Advanced Analytics Co-op,Definity,"Remote in Toronto, ON+1 location",,Canada
Data Scientist,Libro Credit Union,"Remote in Essex, ON",,Canada
"Cloud Technical Solutions Specialist, Big Data",Google,"Waterloo, ON",,Canada
Associate Data Scientist,Swiss Re,"Toronto, ON",,Canada
Data Scientist,Brain Finance,"Montréal, QC",,Canada
Data Scientist III,LexisNexis,"Toronto, ON",,Canada
Data Scientist,Camp Systems International Inc.,"Saint-Laurent, QC",,Canada
IT Data Scientist Industrial Placement,Roche,"Welwyn, SK",,Canada
Data Scientist,Providence Health Care,"Vancouver, BC",,Canada
newMachine Learning Engineer,Royal Bank of Canada,"Calgary, AB",,Canada
Analytics Client Lead and Development,Advanced Analytics and Research Lab (AAARL),"Toronto, ON","$3,500 a month",Canada
Data Scientist,Workers Compensation Board of Manitoba / WCB...,"Winnipeg, MB","$70,558 - $88,201 a year",Canada
"Software Developer, Developer Programs, Data Analytics",Google,"Hybrid remote in Waterloo, ON",,Canada
"newData Science Co-op, NA Integrated Analytics (2022 Fall – Tor...",Munich Re,"Toronto, ON",,Canada
Senior Data Scientist,"The Travelers Companies, Inc.","Toronto, ON",,Canada
Adobe Analytics Engineer,Bounteous,Remote in Canada,,Canada
SENIOR DATA SCIENTIST,Société Générale,"Montréal, QC",,Canada
newData & Analytics - Senior Analytics Engineer,Aritzia,"Vancouver, BC",,Canada
System-2 Deep Learning and Neural Reasoning Researcher,Qcom,"Markham, ON",,Canada
"Data Scientist, Growth",CryptoKitties,"Vancouver, BC",,Canada
newData Scientist in Applied Cognition,Thales,"Remote in Quebec City, QC",,Canada
Machine Learning Engineer,Citco,"Toronto, ON",,Canada
"Cloud Technical Solutions Developer, Big Data, Google Cloud",Google,"Waterloo, ON",,Canada
Data Scientist,Peritus.ai,"Montréal, QC",,Canada
Data Scientist,Economical Insurance,"Hybrid remote in Waterloo, ON+3 locations",,Canada
"Regional Epidemiologist/Data Scientist, Public Health Survei...",Vancouver Coastal Health,"Vancouver, BC",$39.77 - $57.17 an hour,Canada
Quantitative Services Innovations Professional - Data Scienc...,Bank of America,"Toronto, ON",,Canada
"Data Scientist, e-commerce",Ubisoft,"Montréal, QC",,Canada
Data Scientist,Michelin,"Headquarters, BC",,Canada
newSearch & Discovery Intern - Fall 2022,Micro Focus,"Ottawa, ON",,Canada
HR Data Scientist,GHD,"Remote in Waterloo, ON",,Canada
newMachine Learning Developer (English Services),CBC/Radio-Canada,"Toronto, ON",,Canada
Staff Data Scientist,Clearco,"Toronto, ON",,Canada
ML and Big Data Consultant,Lovelytics,"Remote in Toronto, ON",,Canada
Staff Machine Learning Engineer (Remote),Wonolo,"Remote in Toronto, ON+2 locations",,Canada
newCustomer Data Science & Analytics Manager,Canadian Tire Corporation,"Toronto, ON",,Canada
Senior Data Scientist,Wave,"Toronto, ON",,Canada
Data Science Intern,"Analysis Group, Inc.","Montréal, QC",,Canada
Decision Scientist,Prodigy Game,Remote in Canada,,Canada
Decision Scientist,Coursera,Canada+1 location,,Canada
Analytics Professional in Training - Forecasting,TransLink,"Metro Vancouver Regional District, BC","$60,541 a year",Canada
Principal Applied Scientist,Microsoft,"Vancouver, BC",,Canada
Senior Data & Applied Scientist,Microsoft,"Vancouver, BC",,Canada
"Research Scientist, Deep Learning and Computer Vision",Zippin,Canada+1 location,,Canada
AI Data Scientist,Viral Nation,"Toronto, ON",,Canada
Senior Data Scientist,MasterCard,"Hybrid remote in Toronto, ON",,Canada
Senior Data Scientist,Future Fertility,"Greater Toronto Area, ON",,Canada
Senior Data Scientist,NielsenIQ,"Toronto, ON",,Canada
"Data Analytics, Manager",PwC,"Toronto, ON",,Canada
"Senior Manager, Data Scientist",Royal Bank of Canada,"Toronto, ON",,Canada
"newSenior Digital Product Manager, Digital and Data Science",Johnson & Johnson,Remote in Canada,,Canada
Data scientist,Desjardins,"Hybrid remote in Montréal, QC",,Canada
Data Scientist/Research Engineer,NOVA Chemicals Corporation,"Calgary, AB",,Canada
Graduate Research Intern (Machine Learning),Deep Genomics,"Toronto, ON",,Canada
newMachine Learning Engineer,Qcom,"Markham, ON",,Canada
Data Scientist,Ppulus,"Remote in Edmonton, AB",,Canada
BI Developer,NielsenIQ,"Toronto, ON",,Canada
newEngineering Group Manager – Ultifi Data Analytics,General Motors,"Remote in Markham, ON",,Canada
newPrincipal Data Scientist,PagerDuty,"Remote in Toronto, ON",,Canada
"Principal, Data Scientist - TalentNeuron",Gartner,"Remote in Quebec City, QC",,Canada
