job_title,company,location,salary,country
"Principal Applied Scientist, Product classification for tax",Amazon Dev Centre Canada ULC,"Vancouver, BC",,Canada
"22-11 Leader, Business Intelligence",Technical Safety BC,Remote in British Columbia,,Canada
"Data Architect - SAP Analytics, Omnia AI",Ouest,Canada,,Canada
Lead Machine Learning Engineer,S&P Global,"Remote in Toronto, ON+1 location","$83,200 - $190,100 a year",Canada
Principal Statistical Programmer,IQVIA,Remote,,Canada
Senior Manager Machine Learning - Customer Personalization,Wayfair,"Toronto, ON",,Canada
Data Scientist,Teck Resources Limited,"Vancouver, BC",,Canada
"Machine Learning, Software Engineering Manager | Apprentissa...",Meta,"Toronto, ON+1 location",,Canada
AI/ML Solutions Architect - Public Sector,"Amazon Web Services Canada, In","Remote in Toronto, ON",,Canada
BI Analyst,Vantix Systems Inc,"Remote in Edmonton, AB",,Canada
"SAP iXp Intern - Advanced Data Analytics, Reporting and Auto...",SAP,"Montréal, QC",,Canada
Data Analytics Consultant (Tableau),Calligo,"Oakville, ON",,Canada
HR Reporting & Analytics Specialist,Moneris Solutions,"Toronto, ON",,Canada
Data Scientist- Risk Model Validation and Monitoring,Desjardins,"Hybrid remote in Montréal, QC",,Canada
"Data Analytics ,Computer Science - Co-op / Internship, Calga...",Cenovus Energy,"Calgary, AB",,Canada
"Senior Manager, Supply Chain Analytics",Bausch Health Companies,"Laval, QC",,Canada
Senior Machine Learning Developer,Assent,"Ottawa, ON",,Canada
Senior Advanced Analytics Analyst,Pembina,"Calgary, AB",,Canada
"Senior Data Science Manager - Merchant Services, Retail Grow...",Shopify,"Remote in Toronto, ON",,Canada
"Data Analytics Senior Manager, Deloitte Global Financial Adv...",Deloitte,"Toronto, ON",,Canada
Sr Data Platform Consultant / Sr Data Engineer / Sr BI Devel...,Calligo,"Oakville, ON",,Canada
Business Intelligence - Report Developer,MacDon Industries Ltd.,"Winnipeg, MB",,Canada
Staff Machine Learning Developer - ATG,ServiceNow,"Remote in Toronto, ON",,Canada
"Fall 2022 Intern - Electronics, Desktop Data Science (MS)",ANSYS,"Vancouver, BC",,Canada
"Lead Software Engineer, Machine Learning",Roofstock,Remote,,Canada
Lead Data Scientist - Innovation & Attributes,Equifax,"Toronto, ON",,Canada
Senior C++/Deep Learning Developer,Algolux,"Montréal, QC",,Canada
"Director, Data Science & Innovation - BC Centre for Disease...",PHSA,"Vancouver, BC",,Canada
Postdoctoral Fellow in Advanced Machine Learning Techniques...,Sunnybrook Health Sciences Centre,"Toronto, ON",,Canada
"Senior Software Developer, Data Analyst, Live Entertainment...",Unity Technologies,"Vancouver, BC",,Canada
"new2022 Fall Applied Science Internship - Automated Reasoning,...","Amazon.com.ca, Inc.","Toronto, ON+1 location",,Canada
Machine Learning Engineer,Carfax,"London, ON",,Canada
Engineer - Machine Learning | Ingénieur – Apprentissage auto...,Facebook App,+1 locationRemote,,Canada
"Engineering Manager, Marketing Technology, Data & Machine Le...",Wayfair,"Toronto, ON",,Canada
"Director, Machine Learning",S&P Global,"Remote in Toronto, ON+1 location",,Canada
"Senior Data Scientist - Performance Modeling TORONTO, ONTECH...",Tonal,"Toronto, ON",,Canada
R&D Scientist in Power Systems Modeling and Machine Learning,Hitachi Energy,"Montréal, QC",,Canada
"Senior Program Manager, Machine Learning",Expedia.com,"Montréal, QC",,Canada
"Developer/Senior Developer, Machine Learning (ML DevOps)",PSP Investments,"Montréal, QC",,Canada
Staff Machine Learning Engineer,Wayfair,"Toronto, ON",,Canada
"Director AI Solutions, Industrial Affairs & Corporate Functi...",Sanofi US,"Toronto, ON",,Canada
Sr. Software Development Engineer - Machine Learning,Workday,"Toronto, ON",,Canada
"Associate Principal, Consulting and Analytics Services",IQVIA,"Kirkland, QC+1 location",,Canada
"Senior Performance Analyst, Business Intelligence",TELUS,"Toronto, ON",,Canada
"Senior Machine Learning Engineer, Computer Vision TORONTO, O...",Tonal,"Toronto, ON",,Canada
Consultant(e) / Senior Consultant(e) Risque Validation de mo...,CH & Co,"Montréal, QC",,Canada
Senior Systems Engineer - Data & Analytics,Lululemon,"Vancouver, BC",,Canada
"Senior Solution Specialist/Customer Success, Cyber Risk Anal...","Guidewire Software, Inc.",Remote,,Canada
Statistical Programmer / Senior Statistical Programmer (Miss...,Genentech,Ontario,,Canada
Software Engineer Lead - Power BI Developer- Value Creation...,Capgemini,"Toronto, ON",,Canada
Senior Machine Learning Developer,AltaML,"Edmonton, AB+1 location",,Canada
newAI Risk - Senior Software Developer - ModelOps,EY,"Toronto, ON",,Canada
Senior Lead Data Scientist & Machine Learning Expert,SITA,"Montréal, QC",,Canada
Senior Data Analyst - Market Health,SkipTheDishes,"Winnipeg, MB",,Canada
"Research Scientist, Artificial Intelligence (PhD) | Chercheu...",Facebook App,"Montréal, QC",,Canada
Senior Data Analyst,Eastside Games Studio,Remote,,Canada
Big Data Solution Architect,EPAM Systems,"Toronto, ON",,Canada
"Software Engineer II, Machine Learning Platform",Wayfair,"Toronto, ON",,Canada
"Big Data Application Developer, AVP",Citi,"Mississauga, ON",,Canada
Applied Research Scientist - NLP,Thomson Reuters,"Toronto, ON",,Canada
"Senior Product Manager, Finance Data & Analytics Solutions (...",Lululemon,"Vancouver, BC",,Canada
"Deals, Analytics, Senior Manager (Energy, Utilities, Mining...",PwC,"Calgary, AB",,Canada
"Senior Machine Learning Engineer, ML Platform, Risk",Square,"Toronto, ON+2 locations",,Canada
"Lead Data Science Analyst, Catalog",Wayfair,"Toronto, ON",,Canada
"Lead, Business Intelligence- Trust & Safety, Monetize Produc...",Unity Technologies,"Montréal, QC",,Canada
"Principal, Consulting and Analytics Services",IQVIA,"Mississauga, ON",,Canada
Machine Learning Developer/ Développeur en apprentissage aut...,Unity Technologies,"Montréal, QC",,Canada
"Senior Analyst, Data Science Catalog",Wayfair,"Toronto, ON",,Canada
"Director of Engineering, Analytics",Ada Inc.,Canada,,Canada
Senior Data Scientist (NLP) (14763) - Canada (Remote),Getty Images,Temporarily Remote,,Canada
Machine Learning Automotive Functional Safety Software – Sr....,108 Qualcomm Canada ULC,"Markham, ON",,Canada
Senior Machine Learning Engineer,Wayfair,"Toronto, ON",,Canada
newSenior Software Engineer – Machine learning – w/m,Siemens,"Montréal, QC",,Canada
"Senior Manager, Data Science Analytics",Wayfair,"Toronto, ON",,Canada
"Senior Machine Learning Engineer, Modeler, Risk",Square,"Vancouver, BC+2 locations",,Canada
Senior Applied Scientist - Reinforcement Learning,Microsoft,"Vancouver, BC",,Canada
Tenure-Track Assistant Professor in Machine Learning & Artif...,McMaster University,"Hamilton, ON",,Canada
